Student ID,Student Country,Question ID,Type of Answer,Question Level,Topic,Subtopic,Student Age,Response Time (s)
647,Ireland,77,0,Basic,Statistics,Statistics,28.0,53.0
41,Portugal,77,1,Basic,Statistics,Statistics,20.0,74.0
340,Portugal,77,1,Basic,Statistics,Statistics,27.0,64.0
641,Italy,77,0,Basic,Statistics,Statistics,18.0,42.0
669,Portugal,77,1,Basic,Statistics,Statistics,18.0,30.0
697,Portugal,77,1,Basic,Statistics,Statistics,,78.0
720,Portugal,77,1,Basic,Statistics,Statistics,22.0,82.0
675,Portugal,77,1,Basic,Statistics,Statistics,21.0,31.0
663,Portugal,77,0,Basic,Statistics,Statistics,20.0,92.0
28,Portugal,77,0,Basic,Statistics,Statistics,23.0,51.0
953,Lithuania,77,0,Basic,Statistics,Statistics,21.0,112.0
636,Italy,77,1,Basic,Statistics,Statistics,25.0,
639,Italy,77,0,Basic,Statistics,Statistics,22.0,53.0
684,Ireland,78,0,Basic,Statistics,Statistics,23.0,84.0
683,Ireland,78,0,Basic,Statistics,Statistics,23.0,62.0
725,Portugal,78,0,Basic,Statistics,Statistics,39.0,62.0
57,,78,0,Basic,Statistics,Statistics,27.0,61.0
690,Portugal,78,0,Basic,Statistics,Statistics,21.0,56.0
675,Portugal,78,0,Basic,Statistics,Statistics,21.0,72.0
679,Portugal,78,0,Basic,Statistics,Statistics,28.0,76.0
663,Portugal,78,0,Basic,Statistics,Statistics,20.0,67.0
638,Italy,78,0,Basic,Statistics,Statistics,27.0,96.0
953,Lithuania,78,0,Basic,Statistics,Statistics,21.0,32.0
637,Italy,78,0,Basic,Statistics,Statistics,18.0,50.0
658,Ireland,79,0,Basic,Statistics,Statistics,24.0,76.0
647,Ireland,79,0,Basic,Statistics,Statistics,28.0,36.0
657,Ireland,79,0,Basic,Statistics,Statistics,26.0,91.0
674,Ireland,79,0,Basic,Statistics,Statistics,25.0,74.0
41,Portugal,79,1,Basic,Statistics,Statistics,20.0,56.0
41,Portugal,79,1,Basic,Statistics,Statistics,20.0,70.0
