Peso,Estatura,Edad,PctGrasaCorporal,EstadoCivil,ActividadFisica
80.1,172.5,74.0,17.8,casado,0
82.3,164.4,29.0,19.5,soltero,1
52.6,162.8,36.0,13.2,soltero,1
92.5,174.2,72.0,18.7,soltero,0
84.9,174.4,21.0,17.6,casado,1
84.7,176.1,62.0,17.0,divorciado,0
88.9,200.8,22.0,9.1,casado,0
65.7,155.4,66.0,20.8,casado,1
81.0,166.2,23.0,18.5,soltero,1
92.8,188.8,59.0,15.3,divorciado,0
84.4,172.6,56.0,16.8,casado,0
68.0,158.0,42.0,18.5,casado,1
50.0,166.1,63.0,10.8,soltero,0
57.4,160.1,50.0,17.4,casado,1
75.1,161.5,54.0,22.4,casado,1
74.6,162.2,68.0,22.5,soltero,1
59.4,150.8,54.0,19.5,soltero,1
61.1,156.4,73.0,20.9,divorciado,1
79.0,192.9,47.0,11.5,casado,0
74.6,139.9,55.0,26.2,divorciado,1
89.1,190.3,71.0,15.2,soltero,0
54.2,163.6,48.0,17.3,soltero,1
67.7,147.9,41.0,21.8,divorciado,1
59.5,178.3,56.0,10.2,casado,0
54.6,169.5,51.0,10.3,casado,0
77.2,172.7,65.0,21.2,soltero,1
83.5,176.0,22.0,11.4,casado,0
96.1,175.6,37.0,15.0,soltero,0
98.4,187.4,46.0,15.1,casado,0
63.6,157.4,66.0,20.3,casado,1
54.5,168.6,22.0,13.3,soltero,1
64.5,161.2,51.0,19.8,soltero,1
67.0,167.1,49.0,17.4,soltero,1
108.9,175.3,32.0,18.3,casado,0
88.5,160.6,20.0,15.7,casado,0
74.7,167.2,29.0,12.3,casado,0
62.2,174.5,62.0,13.1,soltero,0
82.2,148.0,62.0,28.2,casado,1
50.0,181.4,32.0,6.4,soltero,0
78.5,165.4,53.0,21.2,soltero,1
76.9,158.1,27.0,19.3,casado,1
55.1,179.7,26.0,7.0,soltero,0
53.9,179.2,21.0,6.1,casado,0
218.07798835275784,172.5,18.0,88.14277389481859,casado,0
69.4,165.8,53.0,14.4,casado,0
79.0,172.1,32.0,19.4,casado,1
75.4,192.4,32.0,10.1,casado,0
44.2,167.9,28.0,10.7,soltero,1
78.0,173.6,19.0,11.9,soltero,0
89.4,182.6,50.0,14.2,soltero,0
51.5,156.6,45.0,10.7,soltero,0
73.4,150.7,38.0,21.2,casado,1
79.6,163.0,20.0,17.9,casado,1
,159.2,58.0,16.5,soltero,1
75.5,169.7,59.0,19.7,casado,1
98.6,176.2,37.0,15.9,casado,0
92.6,168.2,21.0,13.9,casado,0
47.8,155.3,64.0,15.7,casado,1
63.5,165.7,18.0,15.0,casado,1
79.7,177.2,40.0,11.7,casado,0
64.6,186.5,45.0,10.1,soltero,0
58.2,160.4,46.0,17.1,casado,1
60.1,171.0,65.0,17.5,soltero,1
93.2,168.4,39.0,21.7,soltero,1
191.12607862672,169.8,60.0,50.745513207740395,casado,0
65.6,167.1,74.0,19.8,soltero,1
64.0,199.5,45.0,8.3,soltero,0
78.3,181.5,71.0,15.6,soltero,0
63.4,181.5,24.0,7.6,soltero,0
71.8,158.7,65.0,22.6,soltero,1
71.5,159.7,58.0,21.8,soltero,1
90.0,169.5,23.0,13.4,casado,0
78.8,152.2,39.0,22.9,soltero,1
61.3,156.5,41.0,18.4,casado,1
61.9,155.1,38.0,16.8,soltero,1
75.4,179.5,52.0,18.0,casado,1
67.1,164.8,65.0,18.8,soltero,1
78.0,178.7,19.0,10.8,soltero,0
