ID,Peso,Estatura,Edad,PctGrasaCorporal,EstadoCivil,ActividadFisica
eda8ae48,80.1,172.5,74.0,17.8,casado,0
129d6fe6,82.3,164.4,29.0,19.5,soltero,1
9acd3a62,52.6,162.8,36.0,13.2,soltero,1
b120921e,92.5,174.2,72.0,18.7,soltero,0
755ee8f7,84.9,174.4,21.0,17.6,casado,1
f5f99916,84.7,176.1,62.0,17.0,divorciado,0
865314e9,88.9,200.8,22.0,9.1,casado,0
186ae2fe,65.7,155.4,66.0,20.8,casado,1
567b3be0,81.0,166.2,23.0,18.5,soltero,1
c4f1aaf4,92.8,188.8,59.0,15.3,divorciado,0
159befe7,84.4,172.6,56.0,16.8,casado,0
69f75b5c,68.0,158.0,42.0,18.5,casado,1
1c0ff049,50.0,166.1,63.0,10.8,soltero,0
5e3fa226,57.4,160.1,50.0,17.4,casado,1
d1fa2092,75.1,161.5,54.0,22.4,casado,1
70495ca9,74.6,162.2,68.0,22.5,soltero,1
c5364b00,59.4,150.8,54.0,19.5,soltero,1
3d1c9d17,61.1,156.4,73.0,20.9,divorciado,1
2b9e0201,79.0,192.9,47.0,11.5,casado,0
6b57ac83,74.6,139.9,55.0,26.2,divorciado,1
59c1c785,89.1,190.3,71.0,15.2,soltero,0
10c53d5b,54.2,163.6,48.0,17.3,soltero,1
ae50a319,67.7,147.9,41.0,21.8,divorciado,1
57bbfac5,59.5,178.3,56.0,10.2,casado,0
5668bc0d,54.6,169.5,51.0,10.3,casado,0
dda02922,77.2,172.7,65.0,21.2,soltero,1
6c2fb00e,83.5,176.0,22.0,11.4,casado,0
c46964ae,96.1,175.6,37.0,15.0,soltero,0
785f1f3b,98.4,187.4,46.0,15.1,casado,0
5d6dd639,63.6,157.4,66.0,20.3,casado,1
6b0ac026,54.5,168.6,22.0,13.3,soltero,1
09485421,64.5,161.2,51.0,19.8,soltero,1
eb265fa7,67.0,167.1,49.0,17.4,soltero,1
43b876b2,108.9,175.3,32.0,18.3,casado,0
62a0ce74,88.5,160.6,20.0,15.7,casado,0
85a6f7a7,74.7,167.2,29.0,12.3,casado,0
7168e303,62.2,174.5,62.0,13.1,soltero,0
2f6346d5,82.2,148.0,62.0,28.2,casado,1
a68c048b,50.0,181.4,32.0,6.4,soltero,0
f743c0e6,78.5,165.4,53.0,21.2,soltero,1
83d9ad3b,76.9,158.1,27.0,19.3,casado,1
9b4f753e,55.1,179.7,26.0,7.0,soltero,0
92ff732c,53.9,179.2,21.0,6.1,casado,0
6f0774d9,85.6,172.5,18.0,13.6,casado,0
fc85c7f9,69.4,165.8,53.0,14.4,casado,0
beab2008,79.0,172.1,32.0,19.4,casado,1
d93a73c2,75.4,192.4,32.0,10.1,casado,0
d574bddc,44.2,167.9,28.0,10.7,soltero,1
ad1fc631,78.0,173.6,19.0,11.9,soltero,0
ba95fb0c,89.4,182.6,50.0,14.2,soltero,0
132abf5c,51.5,156.6,45.0,10.7,soltero,0
3b97eede,73.4,150.7,38.0,21.2,casado,1
e96190cc,79.6,163.0,20.0,17.9,casado,1
45a15f68,,159.2,58.0,16.5,soltero,1
